,,Frames,mota,motp,idf1,IDSW,FP,FN
SORT,0000,151,-23.45267489711934,0.2898013641759504,0.0356460852959898,22,5859,61
SORT,0001,447,-17.242819843342037,0.306967093627819,0.0470110603099922,228,48015,666
SORT,0002,221,-5.525193798449612,0.2902521149906367,0.0856010568031704,18,6111,605
SORT,0003,144,-2.575757575757576,0.2288418335569786,0.1835372636262514,12,1179,107
SORT,0004,314,-8.12958435207824,0.2591471954713272,0.0879833294744153,56,7207,205
SORT,0005,297,-9.231372549019609,0.2580975179836096,0.0852551603576951,88,12640,317
SORT,0006,267,-16.752727272727274,0.2281691177193229,0.0349294693407542,21,9532,211
SORT,0007,698,-4.628875110717449,0.29146474044627,0.1666666666666666,76,12159,475
SORT,0008,390,-15.636711281070744,0.2672953339056444,0.0590824714929726,43,17061,298
SORT,0009,762,-9.8537950332284,0.3140551496684914,0.0725257687559217,196,29973,862
SORT,0010,294,-8.537313432835822,0.2001443223413489,0.0761904761904762,20,5570,161
SORT,0011,373,-6.338619676945668,0.2933704322298318,0.0998516371666149,135,23513,1340
SORT,0012,78,-3.986111111111111,0.2997708725275281,0.0756097560975609,2,624,92
SORT,0013,333,-312.6,0.3547735261457039,0.0025432055950523,1,17219,28
SORT,0014,106,-3.4000000000000004,0.3441553725335249,0.1376485047111839,23,1755,224
SORT,0015,374,-14.667408231368189,0.2404380841750951,0.0758811067599666,8,13928,149
SORT,0016,209,-12.417464114832535,0.4245613696289247,0.0409988189640627,7,10696,514
SORT,0017,145,-2.5789889415481837,0.2684876378560091,0.0357217030114226,0,3407,1124
SORT,0018,322,-3.157311669128508,0.2264727240442638,0.2382453044245556,24,5415,190
SORT,0019,1059,-326.90830636461703,0.2828262884145375,0.0035023059575206,12,303809,150
SORT,0020,837,-15.480443878479171,0.2680193825592061,0.0444870331104224,331,88682,1580
SORT,OVERALL,7821,-21.230483791920467,0.2796563610150124,0.0378142821222774,1323,624354,9359
DeepSORT,0000,152,-3.880658436213992,0.242433591120607,0.1745313510019392,33,1107,46
DeepSORT,0001,447,0.0167847817978366,0.2256104730672532,0.1608872227428928,416,1630,590
DeepSORT,0002,227,-0.4903100775193798,0.2219428092750354,0.1824134705332086,58,777,703
DeepSORT,0003,144,0.3608815426997245,0.1767927333584089,0.355614973262032,28,113,91
DeepSORT,0004,314,0.0537897310513447,0.2013733499307064,0.2172557172557172,174,444,156
DeepSORT,0005,297,0.2423529411764705,0.2113155384603162,0.3153252480705623,171,483,312
DeepSORT,0006,267,-2.267272727272727,0.1742488598850095,0.1537842190016103,61,1560,176
DeepSORT,0007,727,0.2931798051372896,0.1943084281822966,0.1779677482028366,201,1013,382
DeepSORT,0008,390,-0.0783938814531548,0.1777102379491959,0.3789152024446142,124,765,239
DeepSORT,0009,775,-0.1192724728926197,0.2430871697474612,0.1856453734834088,341,1991,868
DeepSORT,0010,294,0.5655058043117744,0.1249340359608712,0.6147607461476075,31,129,102
DeepSORT,0011,373,0.1136563876651982,0.2013968434747658,0.2343453510436432,376,1078,1564
DeepSORT,0012,78,-1.8125,0.2642621473607523,0.1082164328657314,6,305,94
DeepSORT,0013,336,-38.89090909090909,0.390715495595728,0.0090252707581227,6,2147,41
DeepSORT,0014,106,-0.2373626373626374,0.2570127562184017,0.3386641580432737,44,336,183
DeepSORT,0015,374,-0.899888765294772,0.2059741181819817,0.4117280099812851,40,1538,130
DeepSORT,0016,209,-2.3421052631578947,0.4206816174458006,0.1574185765983112,14,2212,568
DeepSORT,0017,145,-0.731437598736177,0.2657719927952094,0.03954802259887,0,1069,1123
DeepSORT,0018,323,0.5494830132939439,0.1739322210411584,0.6219644798840159,97,282,231
DeepSORT,0019,1059,-9.647249190938512,0.2169673811545228,0.0789895036470379,100,9579,191
DeepSORT,0020,837,0.1771875568491905,0.1969437643321566,0.2304719101123595,616,2019,1888
DeepSORT,OVERALL,7874,-0.5120072813834629,0.208142438046485,0.2124027630044469,2937,30577,9678
FairMOT,0000,154,-379.9588477366255,0.3060234919222127,0.001763668430335,71,92502,0
FairMOT,0001,447,-336.07609101081687,0.2928326514264784,0.0014999372272966,877,902750,74
FairMOT,0002,233,-121.46705426356588,0.3368855907996226,0.0082166316496528,141,126107,138
FairMOT,0003,144,-82.41322314049587,0.3091465388469473,0.0058951187121432,100,30163,16
FairMOT,0004,314,-274.658924205379,0.2690043497035391,0.0022317096836794,343,225121,25
FairMOT,0005,297,-174.8878431372549,0.2916705836476222,0.0031990950626121,393,223814,50
FairMOT,0006,270,-535.2981818181818,0.2897363702939134,0.0004734208034627,154,294715,95
FairMOT,0007,800,-634.3193091231178,0.2880565771146814,0.0008551673312174,644,1433853,54
FairMOT,0008,390,-297.31166347992354,0.2906890821073778,0.0012565097730309,293,311608,133
FairMOT,0009,803,-817.7047918852745,0.3057869206914483,0.0006370211628322,928,2339661,88
FairMOT,0010,294,-178.86898839137646,0.2672855578807679,0.0039671294984414,162,108246,53
FairMOT,0011,373,-165.8431718061674,0.3237952466327402,0.0035655966972048,580,567264,257
FairMOT,0012,78,-119.38888888888889,0.2937466467656144,0.0115863009030499,15,17320,1
FairMOT,0013,340,-6742.0,0.3464275910735643,5.391998274560552e-05,9,370833,23
FairMOT,0014,106,-69.22857142857143,0.310672370070528,0.0071316590329224,135,31720,99
FairMOT,0015,376,-541.6095661846496,0.3213894073629503,0.0019699400230916,123,487620,63
FairMOT,0016,209,-345.2882775119617,0.4203552988644883,0.0040937503225118,0,289256,241
FairMOT,0017,145,-76.99052132701422,0.2685265988889864,0.0029486609847719,0,97616,1120
FairMOT,0018,330,-156.99187592319055,0.2990809995361338,0.005488869791811,179,213736,6
FairMOT,0019,1059,-6822.167206040993,0.3180238990618653,8.724775992956956e-05,112,6324960,4
FairMOT,0020,837,-510.3620156448972,0.3044892504006461,0.0011935624221445,1050,2809521,386
FairMOT,OVERALL,7999,-604.8818525519848,0.3056642469615361,0.0010220951429042,6309,17298386,2926
