,mota,motp,idf1,num_switches,num_objects,precision,recall
0000,-3.895316804407713,0.20149977499185406,0.20364656381486676,191,1089,0.16470782982949841,0.9136822773186409
0001,-10.202294544603138,0.23551286592375778,0.11509916944439329,632,4271,0.0708374975014991,0.8297822523999063
0002,-1.7616777883698762,0.23554801539300052,0.3554886521537749,134,2098,0.22759253594371368,0.7092469018112488
0003,-0.7897793263646922,0.1710933224521419,0.5252613240418118,27,861,0.2724738675958188,0.454123112659698
0004,-2.729125248508946,0.23243659914677736,0.3370626525630594,309,2012,0.1686700767263427,0.6555666003976143
0005,-4.872905027932961,0.24252083823726045,0.19395402006858886,301,2148,0.12619502868068833,0.7988826815642458
0006,-5.479944674965422,0.25592169421065236,0.1869753468233631,263,1446,0.11194407861412217,0.76417704011065
0007,-2.261687264911338,0.2302956394332484,0.3020833333333333,312,3722,0.2092956534213169,0.783987103707684
0008,-7.179597701149426,0.22071892487719907,0.1465547569985425,212,2088,0.08506934695940255,0.7255747126436781
0009,-4.440860215053763,0.2382036089494101,0.21716616135869712,735,5301,0.14332186424773224,0.8643652141105452
0010,-3.1519274376417235,0.2584598114762714,0.23912747102931153,90,1323,0.16067864271457086,0.7301587301587301
0011,-4.202569396650608,0.21945598024920082,0.21491799445502222,223,4359,0.14625850340136054,0.8582243633860978
0012,-0.7005649717514124,0.19958503008580822,0.44660194174757284,4,354,0.31952662721893493,0.6101694915254238
0013,-5.710788381742739,0.26914576258724165,0.18976393976393977,463,2410,0.11440333990490549,0.8186721991701245
0014,-1.1102756892230579,0.2396647517501343,0.3843390804597701,48,798,0.2890231621349446,0.7192982456140351
0015,-2.951359084406295,0.22950624394287483,0.27667418698068563,257,3495,0.15737838942635238,0.6609442060085837
0016,-1.0610373944511458,0.2448875297106808,0.43619336542900483,506,4145,0.3233799237611182,0.8595898673100121
0017,-1.0880587058038693,0.1784158913159885,0.5281299524564184,180,1499,0.2955762186531417,0.6997998665777185
0018,-1.8260869565217392,0.1974168157535463,0.3625940523109996,71,1794,0.256421948624411,0.9403567447045708
0019,-25.41824517512509,0.25521495219886525,0.05240390400851231,1617,11192,0.03565823773909503,0.9704253037884203
0020,-8.707171762589928,0.254692004801583,0.1224099709345288,1464,8896,0.08965539584660741,0.9332284172661871
